orderNumber,occurrenceID,family,verbatimScientificName,identificationQualifier,genus,species,subspecies,author,eventDate,year,basisOfRecord,lifeStage,organismQuantity,organismQuantityType,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,stateProvince,island,islandGroup,country,countryCode,recordedBy,determinavit (det.),identificationRemarks,occurrenceRemarks,kingdom,scientificName,rankmarker,taxon_id,language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,taxonRank,nomenclaturalCode
85,WL:SNAIL:GC:OCC:00084,Geomitridae,Cernuella virgata,,Cernuella,virgata,,"(da Costa, 1778)",14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Cernuella virgata,sp.,checklist_snails_grancanaria:taxon:78e3e0015225ecbf2557ec9cc810bd2a,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:78e3e0015225ecbf2557ec9cc810bd2a,species,ICZN
86,WL:SNAIL:GC:OCC:00085,Helicidae,Theba geminata,,Theba,geminata,,"(Mousson, 1857)",14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Theba geminata,sp.,checklist_snails_grancanaria:taxon:020c50c709c3ef929fd8a44f4734af1e,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:020c50c709c3ef929fd8a44f4734af1e,species,ICZN
87,WL:SNAIL:GC:OCC:00086,Helicidae,Theba grasseti,,Theba,grasseti,,"(Mousson, 1872)",14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Theba grasseti,sp.,checklist_snails_grancanaria:taxon:d07bea8d67b4e9bd4698da8b1512d88d,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:d07bea8d67b4e9bd4698da8b1512d88d,species,ICZN
88,WL:SNAIL:GC:OCC:00087,Geomitridae,Xerotricha aff. orbignii,aff.,Xerotricha,aff. orbignii,,,14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Xerotricha orbignii,sp.,checklist_snails_grancanaria:taxon:bae53a0a05e4213ab11b430ec853d924,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:bae53a0a05e4213ab11b430ec853d924,species,ICZN
89,WL:SNAIL:GC:OCC:00088,Achatinidae,Rumina decollata,,Rumina,decollata,,"(Linnaeus, 1758)",14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Rumina decollata,sp.,checklist_snails_grancanaria:taxon:ed523f5acaa5cf7eed990e4102546fc6,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:ed523f5acaa5cf7eed990e4102546fc6,species,ICZN
90,WL:SNAIL:GC:OCC:00089,Helicidae,Otala lactea,,Otala,lactea,,"(O.F. Müller, 1774)",14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Otala lactea,sp.,checklist_snails_grancanaria:taxon:385a77c6ebbb70834066e69625246546,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:385a77c6ebbb70834066e69625246546,species,ICZN
91,WL:SNAIL:GC:OCC:00090,Enidae,Napaeus interpunctatus,,Napaeus,interpunctatus,,"(Wollaston, 1878)",14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Napaeus interpunctatus,sp.,checklist_snails_grancanaria:taxon:a6816e378cccbdc8ea24ab0d9530f9bf,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:a6816e378cccbdc8ea24ab0d9530f9bf,species,ICZN
92,WL:SNAIL:GC:OCC:00091,Trissexodontidae,Caracollina lenticula,,Caracollina,lenticula,,"(Michaud, 1831)",14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Caracollina lenticula,sp.,checklist_snails_grancanaria:taxon:fdc20a7b515d2326fac0b766ba4cc5b8,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:fdc20a7b515d2326fac0b766ba4cc5b8,species,ICZN
93,WL:SNAIL:GC:OCC:00092,Geomitridae,Monilearia persimilis,,Monilearia,persimilis,,"(Shuttleworth, 1852)",14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,"shell smaller and more diamond shaped than M. cf. praeposita, very variable in shell height",empty shell,Animalia,Monilearia persimilis,sp.,checklist_snails_grancanaria:taxon:af570665a33dcf9a402686225b4837d1,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:af570665a33dcf9a402686225b4837d1,species,ICZN
94,WL:SNAIL:GC:OCC:00093,Streptaxidae,Gibbulinella aff. dealbata,aff.,Gibbulinella,aff. dealbata,,,14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,shell wider and more solid than G. aff. dewinteri,empty shell,Animalia,Gibbulinella dealbata,sp.,checklist_snails_grancanaria:taxon:604812a2ea53f7aac98aadb1e1642768,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:604812a2ea53f7aac98aadb1e1642768,species,ICZN
95,WL:SNAIL:GC:OCC:00094,Pomatiidae,Pomatias aff. laevigatus,aff.,Pomatias,aff. laevigatus,,,14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,"smooth surface, same species as on Tenerife?",empty shell,Animalia,Pomatias laevigatus,sp.,checklist_snails_grancanaria:taxon:057d6bfc0b99eec6f60f71375c7f1500,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:057d6bfc0b99eec6f60f71375c7f1500,species,ICZN
96,WL:SNAIL:GC:OCC:00095,Helicidae,Hemicycla glasiana,,Hemicycla,glasiana,,"(Shuttleworth, 1852)",14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Hemicycla glasiana,sp.,checklist_snails_grancanaria:taxon:67ee0a8700bdfa2b78c8dcb7ecc82931,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:67ee0a8700bdfa2b78c8dcb7ecc82931,species,ICZN
97,WL:SNAIL:GC:OCC:00096,Helicidae,Hemicycla psathyra temperata,,Hemicycla,psathyra,temperata,"(Mousson, 1872)",14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,large flattened shells,empty shell,Animalia,Hemicycla psathyra temperata,infrasp.,checklist_snails_grancanaria:taxon:e6b7d6880d0f6ef49bfd4a8853477a64,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:e6b7d6880d0f6ef49bfd4a8853477a64,infraspecificname,ICZN
98,WL:SNAIL:GC:OCC:00097,Enidae,Napaeus spec.,,Napaeus,,,,14/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,"shell very much like N. arinagaensis (slenderness, convexity, size), but with white blotches",empty shell,Animalia,Napaeus spec.,sp.,checklist_snails_grancanaria:taxon:eb704af20d4b333ae2cb0b7b03b52782,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:eb704af20d4b333ae2cb0b7b03b52782,species,ICZN
99,WL:SNAIL:GC:OCC:00098,Helicidae,Hemicycla psathyra temperata,,Hemicycla,psathyra,temperata,"(Mousson, 1872)",14/09/2018,2018,HumanObservation,adult,5,exact count,28.086712,-15.70823,25,East of Playa de Guayedra,Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,large flattened shells,(sub)fossil,Animalia,Hemicycla psathyra temperata,infrasp.,checklist_snails_grancanaria:taxon:e6b7d6880d0f6ef49bfd4a8853477a64,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:e6b7d6880d0f6ef49bfd4a8853477a64,infraspecificname,ICZN
100,WL:SNAIL:GC:OCC:00099,Helicidae,Hemicycla glasiana,,Hemicycla,glasiana,,"(Shuttleworth, 1852)",14/09/2018,2018,HumanObservation,,,estimate count,28.086712,-15.70823,25,East of Playa de Guayedra,Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,(sub)fossil,Animalia,Hemicycla glasiana,sp.,checklist_snails_grancanaria:taxon:67ee0a8700bdfa2b78c8dcb7ecc82931,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:67ee0a8700bdfa2b78c8dcb7ecc82931,species,ICZN
101,WL:SNAIL:GC:OCC:00100,Geomitridae,Monilearia persimilis,,Monilearia,persimilis,,"(Shuttleworth, 1852)",14/09/2018,2018,HumanObservation,adult,6,exact count,28.086712,-15.70823,25,East of Playa de Guayedra,Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,"shell smaller and more diamond shaped than M. cf. praeposita, very variable in shell height",(sub)fossil,Animalia,Monilearia persimilis,sp.,checklist_snails_grancanaria:taxon:af570665a33dcf9a402686225b4837d1,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:af570665a33dcf9a402686225b4837d1,species,ICZN
102,WL:SNAIL:GC:OCC:00101,Pomatiidae,Pomatias aff. laevigatus,aff.,Pomatias,aff. laevigatus,,,14/09/2018,2018,HumanObservation,adult,4,exact count,28.086712,-15.70823,25,East of Playa de Guayedra,Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,"smooth surface, same species as on Tenerife?",(sub)fossil,Animalia,Pomatias laevigatus,sp.,checklist_snails_grancanaria:taxon:057d6bfc0b99eec6f60f71375c7f1500,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:057d6bfc0b99eec6f60f71375c7f1500,species,ICZN
103,WL:SNAIL:GC:OCC:00102,Pomatiidae,Pomatias aff. laevigatus,aff.,Pomatias,aff. laevigatus,,,15/09/2018,2018,HumanObservation,adult,1,exact count,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,"smooth surface, same species as on Tenerife?",alive,Animalia,Pomatias laevigatus,sp.,checklist_snails_grancanaria:taxon:057d6bfc0b99eec6f60f71375c7f1500,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:057d6bfc0b99eec6f60f71375c7f1500,species,ICZN
104,WL:SNAIL:GC:OCC:00103,Helicidae,Theba geminata,,Theba,geminata,,"(Mousson, 1857)",15/09/2018,2018,HumanObservation,adult,1,exact count,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,alive,Animalia,Theba geminata,sp.,checklist_snails_grancanaria:taxon:020c50c709c3ef929fd8a44f4734af1e,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:020c50c709c3ef929fd8a44f4734af1e,species,ICZN
105,WL:SNAIL:GC:OCC:00104,Geomitridae,Monilearia persimilis,,Monilearia,persimilis,,"(Shuttleworth, 1852)",15/09/2018,2018,HumanObservation,adult,1,exact count,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,"shell smaller and more diamond shaped than M. cf. praeposita, very variable in shell height",alive,Animalia,Monilearia persimilis,sp.,checklist_snails_grancanaria:taxon:af570665a33dcf9a402686225b4837d1,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:af570665a33dcf9a402686225b4837d1,species,ICZN
106,WL:SNAIL:GC:OCC:00105,Geomitridae,Monilearia persimilis,,Monilearia,persimilis,,"(Shuttleworth, 1852)",15/09/2018,2018,HumanObservation,juvenile,1,exact count,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,"shell smaller and more diamond shaped than M. cf. praeposita, very variable in shell height",alive,Animalia,Monilearia persimilis,sp.,checklist_snails_grancanaria:taxon:af570665a33dcf9a402686225b4837d1,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:af570665a33dcf9a402686225b4837d1,species,ICZN
107,WL:SNAIL:GC:OCC:00106,Geomitridae,Cernuella virgata,,Cernuella,virgata,,"(da Costa, 1778)",15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Cernuella virgata,sp.,checklist_snails_grancanaria:taxon:78e3e0015225ecbf2557ec9cc810bd2a,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:78e3e0015225ecbf2557ec9cc810bd2a,species,ICZN
108,WL:SNAIL:GC:OCC:00107,Helicidae,Theba geminata,,Theba,geminata,,"(Mousson, 1857)",15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Theba geminata,sp.,checklist_snails_grancanaria:taxon:020c50c709c3ef929fd8a44f4734af1e,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:020c50c709c3ef929fd8a44f4734af1e,species,ICZN
109,WL:SNAIL:GC:OCC:00108,Helicidae,Theba grasseti,,Theba,grasseti,,"(Mousson, 1872)",15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Theba grasseti,sp.,checklist_snails_grancanaria:taxon:d07bea8d67b4e9bd4698da8b1512d88d,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:d07bea8d67b4e9bd4698da8b1512d88d,species,ICZN
110,WL:SNAIL:GC:OCC:00109,Geomitridae,Xerotricha aff. orbignii,aff.,Xerotricha,aff. orbignii,,,15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Xerotricha orbignii,sp.,checklist_snails_grancanaria:taxon:bae53a0a05e4213ab11b430ec853d924,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:bae53a0a05e4213ab11b430ec853d924,species,ICZN
111,WL:SNAIL:GC:OCC:00110,Achatinidae,Rumina decollata,,Rumina,decollata,,"(Linnaeus, 1758)",15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Rumina decollata,sp.,checklist_snails_grancanaria:taxon:ed523f5acaa5cf7eed990e4102546fc6,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:ed523f5acaa5cf7eed990e4102546fc6,species,ICZN
112,WL:SNAIL:GC:OCC:00111,Helicidae,Otala lactea,,Otala,lactea,,"(O.F. Müller, 1774)",15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Otala lactea,sp.,checklist_snails_grancanaria:taxon:385a77c6ebbb70834066e69625246546,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:385a77c6ebbb70834066e69625246546,species,ICZN
113,WL:SNAIL:GC:OCC:00112,Enidae,Napaeus interpunctatus,,Napaeus,interpunctatus,,"(Wollaston, 1878)",15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Napaeus interpunctatus,sp.,checklist_snails_grancanaria:taxon:a6816e378cccbdc8ea24ab0d9530f9bf,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:a6816e378cccbdc8ea24ab0d9530f9bf,species,ICZN
114,WL:SNAIL:GC:OCC:00113,Trissexodontidae,Caracollina lenticula,,Caracollina,lenticula,,"(Michaud, 1831)",15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Caracollina lenticula,sp.,checklist_snails_grancanaria:taxon:fdc20a7b515d2326fac0b766ba4cc5b8,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:fdc20a7b515d2326fac0b766ba4cc5b8,species,ICZN
115,WL:SNAIL:GC:OCC:00114,Geomitridae,Monilearia persimilis,,Monilearia,persimilis,,"(Shuttleworth, 1852)",15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,"shell smaller and more diamond shaped than M. cf. praeposita, very variable in shell height",empty shell,Animalia,Monilearia persimilis,sp.,checklist_snails_grancanaria:taxon:af570665a33dcf9a402686225b4837d1,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:af570665a33dcf9a402686225b4837d1,species,ICZN
116,WL:SNAIL:GC:OCC:00115,Streptaxidae,Gibbulinella aff. dealbata,aff.,Gibbulinella,aff. dealbata,,,15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,shell wider and more solid than G. aff. dewinteri,empty shell,Animalia,Gibbulinella dealbata,sp.,checklist_snails_grancanaria:taxon:604812a2ea53f7aac98aadb1e1642768,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:604812a2ea53f7aac98aadb1e1642768,species,ICZN
117,WL:SNAIL:GC:OCC:00116,Pomatiidae,Pomatias aff. laevigatus,aff.,Pomatias,aff. laevigatus,,,15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,"smooth surface, same species as on Tenerife?",empty shell,Animalia,Pomatias laevigatus,sp.,checklist_snails_grancanaria:taxon:057d6bfc0b99eec6f60f71375c7f1500,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:057d6bfc0b99eec6f60f71375c7f1500,species,ICZN
118,WL:SNAIL:GC:OCC:00117,Helicidae,Hemicycla glasiana,,Hemicycla,glasiana,,"(Shuttleworth, 1852)",15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Hemicycla glasiana,sp.,checklist_snails_grancanaria:taxon:67ee0a8700bdfa2b78c8dcb7ecc82931,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:67ee0a8700bdfa2b78c8dcb7ecc82931,species,ICZN
119,WL:SNAIL:GC:OCC:00118,Helicidae,Hemicycla psathyra temperata,,Hemicycla,psathyra,temperata,"(Mousson, 1872)",15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,large flattened shells,empty shell,Animalia,Hemicycla psathyra temperata,infrasp.,checklist_snails_grancanaria:taxon:e6b7d6880d0f6ef49bfd4a8853477a64,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:e6b7d6880d0f6ef49bfd4a8853477a64,infraspecificname,ICZN
120,WL:SNAIL:GC:OCC:00119,Enidae,Napaeus spec.,,Napaeus,,,,15/09/2018,2018,HumanObservation,,,,28.096479,-15.705672,25,Agaete hill (SW of Agaete),Agaete,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,"shell very much like N. arinagaensis (slenderness, convexity, size), but with white blotches",empty shell,Animalia,Napaeus spec.,sp.,checklist_snails_grancanaria:taxon:eb704af20d4b333ae2cb0b7b03b52782,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:eb704af20d4b333ae2cb0b7b03b52782,species,ICZN
121,WL:SNAIL:GC:OCC:00120,Enidae,Napaeus interpunctatus,,Napaeus,interpunctatus,,"(Wollaston, 1878)",16/09/2018,2018,HumanObservation,adult,7,exact count,28.13419,-15.666162,25,Northeast of San Isidro de Gáldar,Gáldar,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Napaeus interpunctatus,sp.,checklist_snails_grancanaria:taxon:a6816e378cccbdc8ea24ab0d9530f9bf,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:a6816e378cccbdc8ea24ab0d9530f9bf,species,ICZN
122,WL:SNAIL:GC:OCC:00121,Streptaxidae,Gibbulinella aff. dealbata,aff.,Gibbulinella,aff. dealbata,,,16/09/2018,2018,HumanObservation,adult,5,exact count,28.13419,-15.666162,25,Northeast of San Isidro de Gáldar,Gáldar,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,shell wider and more solid than G. aff. dewinteri,empty shell,Animalia,Gibbulinella dealbata,sp.,checklist_snails_grancanaria:taxon:604812a2ea53f7aac98aadb1e1642768,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:604812a2ea53f7aac98aadb1e1642768,species,ICZN
