orderNumber,occurrenceID,family,scientificName,genus,species,subspecies,author,eventDate,year,state,individualCount,juvenileCount,adultCount,countMethod,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,stateProvince,island,islandGroup,country,countryCode,recordedBy,basisOfRecord,disposition,etiket_ref,collection,determinavit (det.),occurrenceRemarks
19,,Megalomastomatidae,Obscurella bicostulata,Obscurella,bicostulata,,"Gofas, 1989",10/08/2013,2013,empty shell,10,0,10,exact,43.346206,-2.637003,100,Santimamiñe,Kortezubi,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,found at the bottom of fast flowing stream
20,,Megalomastomatidae,Obscurella crassilabrum,Obscurella,crassilabrum,,"(Dupuy, 1849)",10/08/2013,2013,empty shell,1,0,1,exact,43.346206,-2.637003,100,Santimamiñe,Kortezubi,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,found at the bottom of fast flowing stream
21,,Testacellidae,Testacella maugei,Testacella,maugei,,"Férussac, 1819",10/08/2013,2013,empty shell,1,0,1,exact,43.346206,-2.637003,100,Santimamiñe,Kortezubi,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,found at the bottom of fast flowing stream
22,,Megalomastomatidae,Obscurella spec.,Obscurella,,,,10/08/2013,2013,empty shell,1,0,1,exact,43.346206,-2.637003,100,Santimamiñe,Kortezubi,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,found at the bottom of fast flowing stream; small dark shell with closely spaced white ribs
23,,Lymnaeidae,Galba truncatula,Galba,truncatula,,"(O. F. Müller, 1774)",10/08/2013,2013,empty shell,1,0,1,exact,43.346206,-2.637003,100,Santimamiñe,Kortezubi,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,found at the bottom of fast flowing stream
24,,Physidae,Physella acuta,Physella,acuta,,"(Draparnaud, 1805)",10/08/2013,2013,empty shell,20,,,estimate,43.346206,-2.637003,100,Santimamiñe,Kortezubi,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,found at the bottom of fast flowing stream
25,,Planorbidae,Ancylus fluviatilis,Ancylus,fluviatilis,,"O. F. Müller, 1774",10/08/2013,2013,empty shell,30,,,estimate,43.346206,-2.637003,100,Santimamiñe,Kortezubi,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,found at the bottom of fast flowing stream
26,,Tateidae,Potamopyrgus antipodarum,Potamopyrgus,antipodarum,,"(Gray, 1843)",10/08/2013,2013,empty shell,15,,,estimate,43.346206,-2.637003,100,Santimamiñe,Kortezubi,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,found at the bottom of fast flowing stream
27,,Sphaeriidae,Euglesa cf. casertana,Euglesa,cf. casertana,,,10/08/2013,2013,empty shell,7,3,4,exact,43.346206,-2.637003,100,Santimamiñe,Kortezubi,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,found at the bottom of fast flowing stream
28,,Chondrinidae,Chondrina cf. kobelti,Chondrina,cf. kobelti,,,20/07/2015,2015,empty shell,1,0,1,exact,43.428845,-4.769988,100,Cliffs between Llanes and Poó,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,aperture strongly V-shaped; height about 6 mm
29,,Chondrinidae,Abida vasconica,Abida,vasconica,,"(Kobelt, 1882)",20/07/2015,2015,empty shell,1,0,1,exact,43.428845,-4.769988,100,Cliffs between Llanes and Poó,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
30,,Clausiliidae,Clausilia bidentata,Clausilia,bidentata,,"(Strøm, 1765)",20/07/2015,2015,empty shell,10,,,estimate,43.428845,-4.769988,100,Cliffs between Llanes and Poó,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
31,,Geomitridae,Cochlicella barbara,Cochlicella,barbara,,"(Linnaeus, 1758)",20/07/2015,2015,empty shell,20,,,estimate,43.428845,-4.769988,100,Cliffs between Llanes and Poó,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
32,,Lauriidae,Lauria cylindracea,Lauria,cylindracea,,"(Da Costa, 1778)",20/07/2015,2015,empty shell,12,3,9,exact,43.428845,-4.769988,100,Cliffs between Llanes and Poó,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
33,,Pupillidae,Pupilla bigranata,Pupilla,bigranata,,"(Rossmässler, 1839)",20/07/2015,2015,empty shell,1,0,1,exact,43.428845,-4.769988,100,Cliffs between Llanes and Poó,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,palatal tooth subtle and no columelar tooth
34,,Cochlicopidae,Cochlicopa lubrica,Cochlicopa,lubrica,,"(O. F. Müller, 1774)",20/07/2015,2015,empty shell,1,0,1,exact,43.428845,-4.769988,100,Cliffs between Llanes and Poó,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
35,,Cochlicopidae,Cochlicopa lubricella,Cochlicopa,lubricella,,"(Porro, 1838)",20/07/2015,2015,empty shell,15,,,estimate,43.428845,-4.769988,100,Cliffs between Llanes and Poó,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
36,,Geomitridae,Helicella itala itala,Helicella,itala,itala,"(Linnaeus, 1758)",20/07/2015,2015,empty shell,10,,,estimate,43.428845,-4.769988,100,Cliffs between Llanes and Poó,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
